The Waterfront Restaurant & Tavern,4.5,328 Front St S,226,American (New);Seafood;Steakhouses
Restore Public House,4.5,1810 State St,17,American (Traditional)
Lovechild Restaurant,4.5,300 3rd St S,109,American (New)
Buzzard Billy’s,4,222 Pearl St,276,American (Traditional);Cajun/Creole
The Charmant,4.5,101 State St,149,French;Cocktail Bars
The Freighthouse Restaurant,4,107 Vine St,125,Seafood;Steakhouses;Desserts
Howie’s on La Crosse,4,1128 La Crosse St,57,American (New);Pubs
Piggy’s Restaurant,4,501 Front St S,131,Steakhouses;Seafood;Sandwiches
Schuby’s Neighborhood Butcher,4.5,321 State St,17,Butcher;Delis;Caterers
River Rats Bar and Grill,4.5,1311 La Crescent Pl,28,American (New);Burgers;Cocktail Bars
Digger’s Sting Restaurant,4,122 3rd St N,62,American (New);Steakhouses
The Crow,3.5,100 3rd St S,154,American (Traditional);Gastropubs
Uno Venti Pizzeria,4,120 King St,17,Pizza;Italian;Beer Bar
Burritos House,4.5,1205 La Crosse St,30,Mexican
Milwaukee Burger Company,3.5,3039 Medco Ct,23,Burgers;Sports Bars;Beer Bar
4 Sisters Wine Bar and Tapas,3.5,100 Harborview Plz,111,Wine Bars;Tapas/Small Plates;Tapas Bars
Iguana’s Mexican Street Café,4,1800 State St,71,Mexican
Five Star Eggrolls,3.5,1203 La Crosse St,9,Thai;Laotian;Chinese
Le Chateau,4.5,410 Cass St,51,French;Wine Bars;Cocktail Bars
Hmong’s Golden Egg Roll,4,901 State St,69,Laotian;Vietnamese;Thai
Pickerman’s Soup & Sandwiches,4.5,327 Jay St,57,Sandwiches;Soup
Recovery Room,3.5,901 7th St S,14,Sports Bars;American (Traditional)
Red Pines Bar & Grill,4.5,W7305 County Rd Z,88,American (Traditional);Seafood
Big Mama’s Gyros,5,Dave's Guitar Shop Parking Lot,9,Greek;Street Vendors
Ciatti’s Italian Grill,4.5,2846 Midwest Dr,51,Seafood;Steakhouses;Italian
Rudy’s Drive-In,4,1004 La Crosse St,44,American (New)
Hungry Peddler,4,3429 Mormon Coulee Rd,64,American (Traditional);Steakhouses;Seafood
Señor Villa,4,325 West Ave N,69,Mexican
Rosie’s Cafe,4.5,2225 16th St S,56,Diners;Cafes;American (Traditional)
The Root Note,4.5,115 4th St S,80,Music Venues;Coffee & Tea;Creperies
Huck Finn’s On the Water,3.5,129 Marina Dr,53,American (Traditional);Music Venues;Chicken Wings
Timmers 10 Mile Pub,4.5,W4516 Eddie Ave,12,Pubs;American (Traditional)
Taste of Thai,4.5,205 S Holmen Dr,40,Thai
Uptowne Cafe & Bakery,4,1217 Caledonia St,46,Bakeries;Cafes;Breakfast & Brunch
Greengrass Cafe,4,1904 Campbell Rd,96,Breakfast & Brunch;Bars
New Taste of India,4,1812 Jackson St,110,Indian
Pogreba Restaurant,4,1232 Avon St,48,American (Traditional);Seafood;Steakhouses
Il Luigi Italian Cuisine,4.5,235 Sand Lake Rd,3,Italian;Wine Bars
Schmidty’s Bar & Restaurant,4,3119 State Rd,19,American (Traditional)
People’s Food Co-op,4.5,315 5th Ave S,31,Grocery;Delis
David Reay’s Modern Diner + Tavern,3.5,214 Main St,96,Diners;Bars
Moxie’s,3.5,1835 Rose St,6,American (New);Tiki Bars
Kaddy’s Kafe,4.5,236 E Main St,25,Breakfast & Brunch;Cafes
Press Break,4.5,146 Rose St,14,Sandwiches;Hot Dogs;Breakfast & Brunch
Big Boar Barbecue & Catering,4.5,510 Commerce Dr,47,Barbeque
Big Al’s Pizza,3.5,115 3rd St,70,Pizza
Sweet Lou Barbeque,5,,1,Barbeque;Food Trucks
Dim Sum Tea Shop,3.5,221 Pearl St,42,Dim Sum;Coffee & Tea
The Breakfast Club and Pub,3.5,214 Main St,110,American (Traditional);Breakfast & Brunch;Pubs
Fayze’s,3.5,135 S 4th St,129,Bakeries;American (Traditional);Pubs
Pizza Ranch,5,3130 Chestnut Pl,3,Pizza;Chicken Shop;Buffets
Crooked Pint Ale House,3.5,9348 WI-16,23,Pubs;American (Traditional);Sports Bars
North Country Steak Buffet,4,2526 Rose St,29,Buffets;Salad;Tacos
Schmitty’s TimeOut Tavern,4.5,444 N Chestnut St,7,Chicken Wings;American (Traditional);Burgers
Free Range Exchange,5,46 Main St,5,Breakfast & Brunch;Sandwiches;Coffee & Tea
The Barrel Inn Bar & Grill,4,2005 West Ave S,5,Sports Bars;American (Traditional)
Houghton’s Jackson Street Pub,3.5,1002 Jackson St,32,American (Traditional);Irish Pub;Steakhouses
Polito’s Pizza,3.5,116 3rd St S,40,Pizza
Bebo’s Dogs & Beef,5,101 3rd St S,2,Hot Dogs
Meringue Bakery & Cafe,5,313 Main St,4,Bakeries;Custom Cakes;Cafes
Ye Old Style Inn,4,828 5th Ave S,5,Beer Bar;Breakfast & Brunch;Wraps
Pizza King - La Crosse,4.5,2929 South Ave,19,Pizza;Italian;Greek
Sushi Pirate,3.5,200 Main St,60,Japanese;Sushi Bars
La Crosse Family Restaurant,3.5,2120 Rose St,69,American (Traditional);Breakfast & Brunch
Huhot Mongolian Grill,4,Located in Valley View Mall,32,Chinese;Asian Fusion;Mongolian
Eagle’s Nest Sports Bar & Grill,4,1914 Campbell Rd,16,Sports Bars;American (Traditional)
Marco’s Pizza,4.5,3514 Mormon Coulee Rd,8,Pizza
Shogun Sushi And Hibachi,3.5,1227 Crossing Meadows Dr,78,Japanese;Sushi Bars
La Crosse Bierhaus,2.5,128 3rd St S,48,Bars;American (Traditional);Comfort Food
Texas Roadhouse,3.5,4310 State Hwy 16,49,Barbeque;Steakhouses
Fiesta Mexicana,3.5,5200 Mormon Coulee Rd,22,Mexican
Rivoli Theatre & Pizzeria,4,117 4th St N,34,Cinema;Pizza
Saxon Hall,4.5,702 Main St,7,Pizza
Coney Island Hot Dogs,3.5,Located in Bridgeview Shopping Center,7,Hot Dogs
The Driftless Axe,4.5,300 4th St S,2,Pizza;Axe Throwing;Beer Bar
Culina Mariana Cafe,4,5250 Justin Rd,3,Sandwiches;Desserts;American (Traditional)
Castaways on the Island,2,131 Clinton St,1,Restaurants
Fox Hollow Sports Bar,4.5,N3287 County Rd OA,11,American (Traditional);Sports Bars
Arterial,3.5,1003 16th St S,17,Bars;American (Traditional)
Three Rivers Lodge River View Restaurant and Bar,3,111 Front St S,30,Bars;American (New);Burgers
Pappi’s Taqueria y Mas,4,83 Buol Rd,2,Food Trucks;Mexican
Tequila Mexican Restaurant,3,515 West Ave N,22,Mexican
Ardie’s Restaurant / Flipside Pub & Grill,3,400 Lang Dr,31,American (Traditional);Sports Bars;Pubs
Midway Deli,4.5,N5610 County Rd Ot,13,Delis
