Symbol,Side,Cxl,Qty,Price,Bid,Ask,Date1,Date2,TradeID,TradeTiSS,Label,Exbkr,TradeCommType,SourceCommission,Account,OrderID,GTL,GTL-STA,Trailer,Info,Clr,Val1,Val2
CERS,SS,NEW,2756,2.400000,2.340000,2.450000,06/14,06/19,1706149900003,09:30,CustSS,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,GSCO,/17,/17,256945,00,0
CERS,SS,NEW,100,2.3600001842,2.360000,2.370000,06/14,06/19,1706149900003,10:20,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,866087,04,854300
CERS,SS,NEW,200,2.350000,2.360000,2.370000,06/14,06/19,1706149900003,10:20,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,866096,04,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900003,10:20,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,869780,23,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900003,10:22,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,892888,29,854300
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909119,01,0
CERS,SS,NEW,100,2.3600008543,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909128,01,854300
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909140,01,854300
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909143,01,854300
CERS,SS,NEW,100,2.360000,2.350000,2.360000,06/14,06/19,1706149900003,10:24,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,909148,01,854300
